# <defaultcodec>utf-8</defaultcodec>
Statistic export
DispY 1 (Average): Displacement Y [mm] , DispY 1 (Maximum): Displacement Y [mm] , DispY 1 (Minimum): Displacement Y [mm] , DispY 1 (Points): Displacement Y , DispY 1 (Sigma): Displacement Y [mm] , DispZ 1 (Average): Displacement Z [mm] , DispZ 1 (Maximum): Displacement Z [mm] , DispZ 1 (Minimum): Displacement Z [mm] , DispZ 1 (Points): Displacement Z , DispZ 1 (Sigma): Displacement Z [mm]
3.84848089e+00 , 3.89853048e+00 , 3.78898525e+00 , 1.00000000e+02 , 2.61712956e-02 , 4.79017553e-01 , 4.98709053e-01 , 4.61576521e-01 , 1.00000000e+02 , 9.51341279e-03
3.86030902e+00 , 3.89915872e+00 , 3.79516745e+00 , 1.00000000e+02 , 2.52244594e-02 , 4.89025261e-01 , 5.09827137e-01 , 4.73394483e-01 , 1.00000000e+02 , 9.19908977e-03
3.88462874e+00 , 3.92952085e+00 , 3.81868577e+00 , 1.00000000e+02 , 2.61497195e-02 , 4.96348526e-01 , 5.19268751e-01 , 4.80682254e-01 , 1.00000000e+02 , 9.24918997e-03
3.91402045e+00 , 3.95728278e+00 , 3.84888482e+00 , 1.00000000e+02 , 2.57120755e-02 , 4.99009275e-01 , 5.20245433e-01 , 4.85199988e-01 , 1.00000000e+02 , 8.99433495e-03
3.92937163e+00 , 3.97434688e+00 , 3.86493754e+00 , 1.00000000e+02 , 2.61627314e-02 , 5.07786568e-01 , 5.29118359e-01 , 4.90681440e-01 , 1.00000000e+02 , 9.18350029e-03
3.96390059e+00 , 4.01449537e+00 , 3.89345264e+00 , 1.00000000e+02 , 2.79115824e-02 , 5.10800487e-01 , 5.33403218e-01 , 4.94732469e-01 , 1.00000000e+02 , 8.87985152e-03
3.96106397e+00 , 4.01150179e+00 , 3.89695549e+00 , 1.00000000e+02 , 2.70608219e-02 , 5.22958207e-01 , 5.42236328e-01 , 5.04905581e-01 , 1.00000000e+02 , 8.76644468e-03
3.97389809e+00 , 4.02627277e+00 , 3.90357518e+00 , 1.00000000e+02 , 2.86584054e-02 , 5.32875459e-01 , 5.56941569e-01 , 5.15981972e-01 , 1.00000000e+02 , 9.72376171e-03
3.97792809e+00 , 4.02853394e+00 , 3.91324878e+00 , 1.00000000e+02 , 2.74998445e-02 , 5.34220589e-01 , 5.58452547e-01 , 5.16950965e-01 , 1.00000000e+02 , 9.34921866e-03
4.00066049e+00 , 4.05128288e+00 , 3.92813945e+00 , 1.00000000e+02 , 2.74723248e-02 , 5.54148393e-01 , 5.76752663e-01 , 5.39400935e-01 , 1.00000000e+02 , 8.93678075e-03
3.99052084e+00 , 4.03735971e+00 , 3.92156363e+00 , 1.00000000e+02 , 2.76350694e-02 , 5.63776079e-01 , 5.87653399e-01 , 5.49355388e-01 , 1.00000000e+02 , 9.92203960e-03
4.02846338e+00 , 4.07312727e+00 , 3.95704699e+00 , 1.00000000e+02 , 2.73234072e-02 , 5.69351192e-01 , 5.90897620e-01 , 5.53674281e-01 , 1.00000000e+02 , 9.18260032e-03
4.03175617e+00 , 4.07838392e+00 , 3.96214342e+00 , 1.00000000e+02 , 2.65930831e-02 , 5.78639233e-01 , 6.00513995e-01 , 5.64772189e-01 , 1.00000000e+02 , 9.13049881e-03
4.05076345e+00 , 4.09808779e+00 , 3.98195291e+00 , 1.00000000e+02 , 2.72834486e-02 , 5.81613749e-01 , 6.01955891e-01 , 5.64364016e-01 , 1.00000000e+02 , 9.39640602e-03
4.07082735e+00 , 4.12735081e+00 , 3.99538469e+00 , 1.00000000e+02 , 3.04649889e-02 , 5.84575152e-01 , 6.07713938e-01 , 5.69581628e-01 , 1.00000000e+02 , 9.85358080e-03
4.07145884e+00 , 4.12840176e+00 , 3.99770856e+00 , 1.00000000e+02 , 2.92885923e-02 , 6.00839469e-01 , 6.23977304e-01 , 5.83861172e-01 , 1.00000000e+02 , 9.95841439e-03
4.11651495e+00 , 4.15629530e+00 , 4.05158520e+00 , 1.00000000e+02 , 2.41703171e-02 , 5.95791610e-01 , 6.13549531e-01 , 5.79446495e-01 , 1.00000000e+02 , 8.13647831e-03
4.11064047e+00 , 4.15919924e+00 , 4.04133701e+00 , 1.00000000e+02 , 2.74514930e-02 , 6.11813074e-01 , 6.31685495e-01 , 5.93496144e-01 , 1.00000000e+02 , 9.00282464e-03
4.13317323e+00 , 4.18214560e+00 , 4.05894279e+00 , 1.00000000e+02 , 2.83984639e-02 , 6.13864962e-01 , 6.36009216e-01 , 5.97367287e-01 , 1.00000000e+02 , 9.40316820e-03
4.11792263e+00 , 4.16521025e+00 , 4.04143572e+00 , 1.00000000e+02 , 2.78843797e-02 , 6.36643192e-01 , 6.59953535e-01 , 6.19643629e-01 , 1.00000000e+02 , 8.78073456e-03
4.14859441e+00 , 4.19423246e+00 , 4.07761955e+00 , 1.00000000e+02 , 2.72911648e-02 , 6.41649092e-01 , 6.62509620e-01 , 6.28009498e-01 , 1.00000000e+02 , 8.82199215e-03
4.16685942e+00 , 4.22251272e+00 , 4.09116316e+00 , 1.00000000e+02 , 2.93541518e-02 , 6.43505338e-01 , 6.67862296e-01 , 6.30378842e-01 , 1.00000000e+02 , 9.69670162e-03
4.17192636e+00 , 4.22224283e+00 , 4.09237766e+00 , 1.00000000e+02 , 2.93252199e-02 , 6.54216732e-01 , 6.78736925e-01 , 6.36064470e-01 , 1.00000000e+02 , 9.34701684e-03
4.17965281e+00 , 4.21847963e+00 , 4.12061310e+00 , 1.00000000e+02 , 2.10875052e-02 , 6.56728626e-01 , 6.79135919e-01 , 6.41076744e-01 , 1.00000000e+02 , 8.43990918e-03
4.20709641e+00 , 4.26542950e+00 , 4.12832594e+00 , 1.00000000e+02 , 3.06686300e-02 , 6.69718396e-01 , 6.92419469e-01 , 6.52857065e-01 , 1.00000000e+02 , 9.29533599e-03
4.24084752e+00 , 4.28964949e+00 , 4.17200422e+00 , 1.00000000e+02 , 2.68837259e-02 , 6.69427418e-01 , 6.91284716e-01 , 6.53823733e-01 , 1.00000000e+02 , 8.63648699e-03
4.23161178e+00 , 4.28177881e+00 , 4.15658140e+00 , 1.00000000e+02 , 2.87611228e-02 , 6.88726223e-01 , 7.09783316e-01 , 6.74425721e-01 , 1.00000000e+02 , 8.96221867e-03
4.24842041e+00 , 4.29766989e+00 , 4.18006372e+00 , 1.00000000e+02 , 2.77469159e-02 , 6.95060254e-01 , 7.19315529e-01 , 6.79993808e-01 , 1.00000000e+02 , 9.19480794e-03
4.26101986e+00 , 4.31617546e+00 , 4.18027592e+00 , 1.00000000e+02 , 3.08277434e-02 , 7.03981534e-01 , 7.28346229e-01 , 6.89776123e-01 , 1.00000000e+02 , 9.54283629e-03
4.27474701e+00 , 4.32481098e+00 , 4.19866228e+00 , 1.00000000e+02 , 2.74164267e-02 , 7.09559320e-01 , 7.31779218e-01 , 6.92407250e-01 , 1.00000000e+02 , 9.16548356e-03
4.31008516e+00 , 4.36395884e+00 , 4.23532534e+00 , 1.00000000e+02 , 2.94420079e-02 , 7.13408638e-01 , 7.38526762e-01 , 6.98872924e-01 , 1.00000000e+02 , 9.72889471e-03
4.31908935e+00 , 4.37048626e+00 , 4.24343443e+00 , 1.00000000e+02 , 2.78858803e-02 , 7.20521125e-01 , 7.43449807e-01 , 7.06410229e-01 , 1.00000000e+02 , 8.93612305e-03
4.34137686e+00 , 4.39603424e+00 , 4.27052927e+00 , 1.00000000e+02 , 2.96946169e-02 , 7.27302723e-01 , 7.51661718e-01 , 7.12184846e-01 , 1.00000000e+02 , 9.38289621e-03
4.33487297e+00 , 4.38269949e+00 , 4.26389217e+00 , 1.00000000e+02 , 2.65706766e-02 , 7.41457493e-01 , 7.63996840e-01 , 7.25637913e-01 , 1.00000000e+02 , 9.11155839e-03
4.33327704e+00 , 4.38181734e+00 , 4.26250553e+00 , 1.00000000e+02 , 2.79435940e-02 , 7.55685247e-01 , 7.78552055e-01 , 7.40258992e-01 , 1.00000000e+02 , 9.01308719e-03
4.35918527e+00 , 4.40922880e+00 , 4.28548717e+00 , 1.00000000e+02 , 2.84886283e-02 , 7.59091170e-01 , 7.85248935e-01 , 7.43340433e-01 , 1.00000000e+02 , 9.47005984e-03
4.38009997e+00 , 4.43436241e+00 , 4.29808855e+00 , 1.00000000e+02 , 3.06922816e-02 , 7.59961713e-01 , 7.81818092e-01 , 7.43397176e-01 , 1.00000000e+02 , 8.86116669e-03
4.36927801e+00 , 4.42430735e+00 , 4.28792953e+00 , 1.00000000e+02 , 3.09209046e-02 , 7.72396635e-01 , 7.95266509e-01 , 7.56940603e-01 , 1.00000000e+02 , 9.26262548e-03
4.39009371e+00 , 4.43668175e+00 , 4.31762648e+00 , 1.00000000e+02 , 2.74417437e-02 , 7.89323843e-01 , 8.13139737e-01 , 7.72381783e-01 , 1.00000000e+02 , 9.69726780e-03
4.40100370e+00 , 4.44795752e+00 , 4.32695293e+00 , 1.00000000e+02 , 2.84375876e-02 , 7.93386880e-01 , 8.15297604e-01 , 7.76708186e-01 , 1.00000000e+02 , 9.13476475e-03
4.41700052e+00 , 4.47053671e+00 , 4.33745337e+00 , 1.00000000e+02 , 3.03414330e-02 , 8.01553512e-01 , 8.27817857e-01 , 7.85519063e-01 , 1.00000000e+02 , 1.00426807e-02
4.44588701e+00 , 4.49499893e+00 , 4.36866474e+00 , 1.00000000e+02 , 2.89167877e-02 , 7.99077331e-01 , 8.23064208e-01 , 7.82537580e-01 , 1.00000000e+02 , 9.28219746e-03
4.44777327e+00 , 4.49959087e+00 , 4.37533426e+00 , 1.00000000e+02 , 2.74318289e-02 , 8.16057240e-01 , 8.37938249e-01 , 8.00194919e-01 , 1.00000000e+02 , 8.54040692e-03
4.47345210e+00 , 4.52771330e+00 , 4.39550352e+00 , 1.00000000e+02 , 2.95723409e-02 , 8.15974290e-01 , 8.39736879e-01 , 7.99569011e-01 , 1.00000000e+02 , 9.24047239e-03
4.47968691e+00 , 4.54196262e+00 , 4.39853382e+00 , 1.00000000e+02 , 3.25669030e-02 , 8.23927077e-01 , 8.49198520e-01 , 8.07499230e-01 , 1.00000000e+02 , 9.79515569e-03
4.49303908e+00 , 4.54118776e+00 , 4.41566944e+00 , 1.00000000e+02 , 2.84069382e-02 , 8.37607256e-01 , 8.65857840e-01 , 8.24358642e-01 , 1.00000000e+02 , 9.94446640e-03
4.50519259e+00 , 4.56537676e+00 , 4.41754913e+00 , 1.00000000e+02 , 3.36739756e-02 , 8.45151918e-01 , 8.74279916e-01 , 8.27729464e-01 , 1.00000000e+02 , 1.07058480e-02
4.54703215e+00 , 4.60295343e+00 , 4.46098709e+00 , 1.00000000e+02 , 3.07818299e-02 , 8.41472105e-01 , 8.64484727e-01 , 8.25427353e-01 , 1.00000000e+02 , 9.31142284e-03
4.56465120e+00 , 4.62326288e+00 , 4.48622274e+00 , 1.00000000e+02 , 2.94721296e-02 , 8.44843001e-01 , 8.68881762e-01 , 8.29354823e-01 , 1.00000000e+02 , 9.33863622e-03
4.55898290e+00 , 4.61833239e+00 , 4.48176098e+00 , 1.00000000e+02 , 3.01099880e-02 , 8.64662067e-01 , 8.90008926e-01 , 8.48434627e-01 , 1.00000000e+02 , 9.43677526e-03
4.57361372e+00 , 4.62276459e+00 , 4.49907017e+00 , 1.00000000e+02 , 2.77519144e-02 , 8.67664977e-01 , 8.91292334e-01 , 8.50643694e-01 , 1.00000000e+02 , 8.76973570e-03
4.59445314e+00 , 4.65099382e+00 , 4.51631546e+00 , 1.00000000e+02 , 2.93770025e-02 , 8.74767702e-01 , 8.98505747e-01 , 8.58871043e-01 , 1.00000000e+02 , 9.05923876e-03
4.59976232e+00 , 4.65463209e+00 , 4.51635313e+00 , 1.00000000e+02 , 3.18818259e-02 , 8.85397422e-01 , 9.11615849e-01 , 8.68309975e-01 , 1.00000000e+02 , 1.02223811e-02
4.61212030e+00 , 4.67612791e+00 , 4.52216673e+00 , 1.00000000e+02 , 3.50106441e-02 , 8.93437888e-01 , 9.22079623e-01 , 8.77052844e-01 , 1.00000000e+02 , 1.13504522e-02
4.63366682e+00 , 4.68393803e+00 , 4.55421686e+00 , 1.00000000e+02 , 2.97084166e-02 , 8.94928097e-01 , 9.20670629e-01 , 8.78967881e-01 , 1.00000000e+02 , 9.69522562e-03
4.65491196e+00 , 4.71146250e+00 , 4.57293653e+00 , 1.00000000e+02 , 3.05286851e-02 , 9.03699840e-01 , 9.27118242e-01 , 8.87893498e-01 , 1.00000000e+02 , 9.35303087e-03
4.67249879e+00 , 4.73654795e+00 , 4.58657742e+00 , 1.00000000e+02 , 3.39460114e-02 , 9.08215180e-01 , 9.34499443e-01 , 8.92301261e-01 , 1.00000000e+02 , 1.07956215e-02
4.69042058e+00 , 4.74315643e+00 , 4.60996819e+00 , 1.00000000e+02 , 3.07521731e-02 , 9.13756866e-01 , 9.37987208e-01 , 8.97037387e-01 , 1.00000000e+02 , 9.41170113e-03
4.69799453e+00 , 4.75193691e+00 , 4.61848164e+00 , 1.00000000e+02 , 3.09373348e-02 , 9.23689099e-01 , 9.48957503e-01 , 9.07226503e-01 , 1.00000000e+02 , 1.01334276e-02
